key,speech_date,speech_time,company_id,company_name,subject,matched_keywords,enterDate,marketKind,serialNumber,detail_json,fetched_at_tw
1150909|sii|2408|2,115/09/09,17:35:41,2408,南亞科,公告本公司取得機器設備,機器設備,1150909,sii,2,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""2408"", ""data"": [[2, ""115/09/09"", ""17:35:41"", ""李培瑛"", ""總經理"", ""(02)2904-5858"", ""公告本公司取得機器設備"", ""20"", ""115/09/09"", ""1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:\r\n機器設備\r\n2.事實發生日:115/7/2~115/9/9\r\n3.董事會通過日期: 不適用\r\n4.其他核決日期:\r\n核決層級:董事長\r\n民國115年9月9日\r\n5.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:\r\n交易數量：一批\n交易總金額：折合新台幣約5,628,843,241元\r\n6.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關\r\n係人者，得免揭露其姓名）:\r\nKLA CORPORATION，與公司關係：無。\r\n7.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之\r\n所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期\r\n及移轉金額:\r\n不適用\r\n8.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係\r\n人之取得及處分日期、價格及交易當時與公司之關係:\r\n不適用\r\n9.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明\r\n認列情形）:\r\n不適用\r\n10.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定\r\n事項:\r\n依訂單條件付款\r\n11.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及\r\n決策單位:\r\n比、議價：依廠商及其他廠商提供之報價單等作為參考依據，\n並依本公司核決權限規定辦理。\r\n12.專業估價者事務所或公司名稱及其估價金額:\r\n不適用\r\n13.專業估價師姓名:\r\n不適用\r\n14.專業估價師開業證書字號:\r\n不適用\r\n15.估價報告是否為限定價格、特定價格或特殊價格:否或不適用\r\n16.是否尚未取得估價報告:否或不適用\r\n17.尚未取得估價報告之原因:\r\n不適用\r\n18.估價結果有重大差異時，其差異原因及會計師意見:\r\n不適用\r\n19.會計師事務所名稱:\r\n不適用\r\n20.會計師姓名:\r\n不適用\r\n21.會計師開業證書字號:\r\n不適用\r\n22.經紀人及經紀費用:\r\n不適用\r\n23.取得或處分之具體目的或用途:\r\n生產用途\r\n24.本次交易表示異議之董事之意見:\r\n不適用\r\n25.本次交易為關係人交易:否\r\n26.監察人承認或審計委員會同意日期:\r\n不適用\r\n27.本次交易係向關係人取得不動產或其使用權資產:否\r\n28.依「公開發行公司取得或處分資產處理準則」第十六條規定\r\n評估之價格:不適用\r\n29.依前項評估之價格較交易價格為低者，依同準則第十七條規\r\n定評估之價格:不適用\r\n30.前已就同一件事件發布重大訊息日期: 不適用\r\n31.其他敘明事項:\r\n無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""南亞科""}, ""datetime"": ""115/09/10 22:09:44""}",2026-09-10 22:09:42
1150909|sii|9910|1,115/09/09,17:36:12,9910,豐泰,公告本公司2026年8月自結合併損益資訊,自結合併,1150909,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""9910"", ""data"": [[1, ""115/09/09"", ""17:36:12"", ""許芳瑋"", ""董事會辦公室主任"", ""05-5379100"", ""公告本公司 2026 年 8 月自結合併損益資訊"", ""51"", ""115/09/09"", ""1.事實發生日:115/09/09\n2.公司名稱:豐泰企業股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:本公司自結損益資訊，8 月合併營業利益為新台幣 532,744 仟元，\n本年累計合併營業利益為新台幣 3,092,314 仟元；8 月合併稅前利益為\n新台幣 402,359 仟元，本年累計合併稅前淨利為新台幣 3,460,976 仟元；\n本年累計合併稅後淨利為新台幣 2,506,214 仟元，歸屬於母公司業主淨利為\n新台幣 2,452,860 仟元，每股盈餘為新台幣 2.48 元。\n6.因應措施:不適用\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""豐泰""}, ""datetime"": ""115/09/10 22:09:45""}",2026-09-10 22:09:42
1150909|sii|3231|3,115/09/09,17:36:25,3231,緯創,"代子公司WistronInfoComm(Vietnam)Co.,Ltd(簡稱WVN)公告進行建築物改良及取得機器設備",機器設備,1150909,sii,3,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""3231"", ""data"": [[3, ""115/09/09"", ""17:36:25"", ""石慶堂"", ""財務長"", ""(02)6616-9999"", ""代子公司Wistron InfoComm (Vietnam) Co., Ltd(簡稱WVN)\r\n公告進行建築物改良及取得機器設備"", ""20"", ""115/09/09"", ""1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:\r\n擬進行建築物改良及取得設備\r\n2.事實發生日:115/9/9~115/9/9\r\n3.董事會通過日期: 民國115年9月9日\r\n4.其他核決日期: 不適用\r\n5.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:\r\n建築物改良及機器設備金額為不超過美金59,050仟元\r\n6.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關\r\n係人者，得免揭露其姓名）:\r\n如交易對象達公告標準將另行公告\r\n7.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之\r\n所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期\r\n及移轉金額:\r\n如交易對象達公告標準將另行公告\r\n8.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係\r\n人之取得及處分日期、價格及交易當時與公司之關係:\r\n如交易對象達公告標準將另行公告\r\n9.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明\r\n認列情形）:\r\n不適用\r\n10.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定\r\n事項:\r\n以匯款方式支付\r\n11.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及\r\n決策單位:\r\n董事會決議通過\r\n12.專業估價者事務所或公司名稱及其估價金額:\r\n不適用\r\n13.專業估價師姓名:\r\n不適用\r\n14.專業估價師開業證書字號:\r\n不適用\r\n15.估價報告是否為限定價格、特定價格或特殊價格:否或不適用\r\n16.是否尚未取得估價報告:否或不適用\r\n17.尚未取得估價報告之原因:\r\n不適用\r\n18.估價結果有重大差異時，其差異原因及會計師意見:\r\n不適用\r\n19.會計師事務所名稱:\r\n不適用\r\n20.會計師姓名:\r\n不適用\r\n21.會計師開業證書字號:\r\n不適用\r\n22.經紀人及經紀費用:\r\n無\r\n23.取得或處分之具體目的或用途:\r\n因應業務發展及策略規劃需要\r\n24.本次交易表示異議之董事之意見:\r\n無\r\n25.本次交易為關係人交易:否\r\n26.監察人承認或審計委員會同意日期:\r\n不適用\r\n27.本次交易係向關係人取得不動產或其使用權資產:否\r\n28.依「公開發行公司取得或處分資產處理準則」第十六條規定\r\n評估之價格:不適用\r\n29.依前項評估之價格較交易價格為低者，依同準則第十七條規\r\n定評估之價格:不適用\r\n30.前已就同一件事件發布重大訊息日期: 不適用\r\n31.其他敘明事項:\r\n無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""緯創""}, ""datetime"": ""115/09/10 22:09:46""}",2026-09-10 22:09:42
1150909|sii|2408|3,115/09/09,17:37:42,2408,南亞科,公告本公司取得機器設備,機器設備,1150909,sii,3,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""2408"", ""data"": [[3, ""115/09/09"", ""17:37:42"", ""李培瑛"", ""總經理"", ""(02)2904-5858"", ""公告本公司取得機器設備"", ""20"", ""115/09/09"", ""1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:\r\n機器設備\r\n2.事實發生日:114/10/15~115/9/9\r\n3.董事會通過日期: 不適用\r\n4.其他核決日期:\r\n核決層級:董事長\r\n民國115年9月9日\r\n5.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:\r\n交易數量：一批\n交易總金額：折合新台幣約1,050,936,017元\r\n6.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關\r\n係人者，得免揭露其姓名）:\r\nDAS ENVIRONMENTAL EXPERT GMBH，與公司關係：無。\r\n7.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之\r\n所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期\r\n及移轉金額:\r\n不適用\r\n8.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係\r\n人之取得及處分日期、價格及交易當時與公司之關係:\r\n不適用\r\n9.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明\r\n認列情形）:\r\n不適用\r\n10.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定\r\n事項:\r\n依訂單條件付款\r\n11.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及\r\n決策單位:\r\n比、議價：依廠商及其他廠商提供之報價單等作為參考依據，\n並依本公司核決權限規定辦理。\r\n12.專業估價者事務所或公司名稱及其估價金額:\r\n不適用\r\n13.專業估價師姓名:\r\n不適用\r\n14.專業估價師開業證書字號:\r\n不適用\r\n15.估價報告是否為限定價格、特定價格或特殊價格:否或不適用\r\n16.是否尚未取得估價報告:否或不適用\r\n17.尚未取得估價報告之原因:\r\n不適用\r\n18.估價結果有重大差異時，其差異原因及會計師意見:\r\n不適用\r\n19.會計師事務所名稱:\r\n不適用\r\n20.會計師姓名:\r\n不適用\r\n21.會計師開業證書字號:\r\n不適用\r\n22.經紀人及經紀費用:\r\n不適用\r\n23.取得或處分之具體目的或用途:\r\n生產用途\r\n24.本次交易表示異議之董事之意見:\r\n不適用\r\n25.本次交易為關係人交易:否\r\n26.監察人承認或審計委員會同意日期:\r\n不適用\r\n27.本次交易係向關係人取得不動產或其使用權資產:否\r\n28.依「公開發行公司取得或處分資產處理準則」第十六條規定\r\n評估之價格:不適用\r\n29.依前項評估之價格較交易價格為低者，依同準則第十七條規\r\n定評估之價格:不適用\r\n30.前已就同一件事件發布重大訊息日期: 不適用\r\n31.其他敘明事項:\r\n無""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""南亞科""}, ""datetime"": ""115/09/10 22:09:47""}",2026-09-10 22:09:42
1150909|sii|6225|1,115/09/09,19:16:11,6225,天瀚,公告本公司115年現金增資全體董事放棄認購股數達得認購股數二分之一以上，並洽特定人認購之事宜,現金增資,1150909,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""6225"", ""data"": [[1, ""115/09/09"", ""19:16:11"", ""鄭又晉"", ""董事長"", ""02-27771215"", ""公告本公司115年現金增資全體董事放棄認購股數\r\n達得認購股數二分之一以上，並洽特定人認購之事宜"", ""45"", ""115/09/09"", ""1.事實發生日:115/09/09\n2.董監事放棄認購原因:投資策略以及財務規劃考量\n3.董監事姓名、放棄認購股數及其占得認購股數之比率:\n(1)董事:安誠投資有限公司\n   放棄認購股數 6,021,203股，占得認購股數之比率100%。\n4.特定人姓名及其認購股數:以上董事放棄認購之股數，授權董事長洽特定人認購之。\n5.其他應敘明事項:無。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""天瀚""}, ""datetime"": ""115/09/10 22:09:48""}",2026-09-10 22:09:42
1150909|sii|6225|2,115/09/09,20:36:37,6225,天瀚,公告本公司115年現金增資催繳股款相關事宜,現金增資,1150909,sii,2,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""6225"", ""data"": [[2, ""115/09/09"", ""20:36:37"", ""鄭又晉"", ""董事長"", ""02-27771215"", ""公告本公司115年現金增資催繳股款相關事宜"", ""51"", ""115/09/09"", ""1.事實發生日:115/09/09\n2.公司名稱:天瀚科技股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:本公司115年現金增資股款繳納期限業已於民國115年09月09日15點30分\n截止，惟仍有部分原股東及員工尚未繳納股款，特此催告。\n6.因應措施:\n(1)茲依公司法第266條第3項準用同法第142條之規定，自民國115年09月\n10日至民國115年10月12日15點30分為催繳股款期間。\n(2)尚未繳款之原股東及員工，於上述期間內，除可持原繳款書至第一銀行大里分行\n及全省各分行繳款外，亦得採跨行匯款或自動櫃員機(ATM)轉帳繳款(恕不接受票\n據繳款)，逾期未繳款者即喪失認股之權利。\n(3)催繳期間繳納股款之認股人，本公司將於催繳期間屆滿並經集保公司作業完備後，\n依其所認購之股數，撥入認股人指定之集保帳戶。\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n若認股人有任何疑問，請洽詢本公司股務代理機構凱基證券股份有限公司\n股務代理部地址：臺北市重慶南路一段2號5樓\n電話：(02)23148800。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""天瀚""}, ""datetime"": ""115/09/10 22:09:51""}",2026-09-10 22:09:42
1150909|sii|6589|3,115/09/09,21:11:01,6589,台康生技,本公司註銷庫藏股減資變更登記完成,庫藏股,1150909,sii,3,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""6589"", ""data"": [[3, ""115/09/09"", ""21:11:01"", ""劉理成"", ""董事長兼總經理"", ""(02)7708-0123"", ""本公司註銷庫藏股減資變更登記完成"", ""36"", ""115/09/09"", ""1.主管機關核准減資日期:NA\n2.辦理資本變更登記完成日期:115/09/07\n3.對財務報告之影響（含實收資本額與流通在外股數之差異與對每股淨值之影響）:\n (1)減資前實收資本額為新台幣3,070,681,690元，流通在外股數為307,068,169股，\n    每股淨值為新台幣25.38元。\n (2)本次辦理註銷庫藏股減資股數為5,000,000股。\n (3)減資後實收資本額為新台幣3,020,681,690元，流通在外股數為302,068,169股，\n    每股淨值為新台幣25.80元。\n4.預計換股作業計畫:不適用。\n5.預計減資新股上市後之上市普通股股數:247,068,169股\n6.預計減資新股上市後之上市普通股股數占已發行普通股比率\n （減資後上市普通股股數/減資後已發行普通股股數）:247,068,169股，81.79%\n7.前二項預計減資後上巿普通股股數未達6000萬股且未達25%者，請說明股權流通性偏低\n  之因應措施:不適用。\n8.其他應敘明事項:\n 每股淨值係依最近一期會計師核閱財務報告設算。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""台康生技""}, ""datetime"": ""115/09/10 22:09:53""}",2026-09-10 22:09:42
1150910|sii|3702|1,115/09/10,14:22:03,3702,大聯大,公告本公司115年8月份自結合併營收,自結合併,1150910,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""3702"", ""data"": [[1, ""115/09/10"", ""14:22:03"", ""袁興文"", ""副總"", ""(02)2191-0068#85268"", ""公告本公司115年8月份自結合併營收"", ""51"", ""115/09/10"", ""1.事實發生日:115/09/10\n2.公司名稱:大聯大控股(股)公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:公告本公司115年8月份自結合併營收\n6.因應措施:不適用\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n隨著全球科技產業與下游客戶加速推進科技升級與能源基礎設施建置，強勁的企業資\n本支出帶動半導體及電子零組件的廣泛拉貨動能。除了電源管理、伺服器、網通設備\n、儲能系統及高密度連接元件展現強勁拉貨動能，車用電子與工業控制需求亦穩步推\n進，此外，智能倉儲管理與資訊系統整合等高附加價值服務需求同步擴增；各市場多\n元終端應用與軟硬體服務的雙軌並進，為公司營運挹注穩健且具持續性的結構性成長\n動能。\n在此趨勢推升，加上公司持續深化供應鏈整合與全球營運布局下，大聯大2026年8月\n營收達新台幣1,422.4億元，較去年同期成長80.5%。累計營收首度突破兆元達新\n台幣1兆631.1億元，較去年同期成長62.4%，並超越2025年全年營收表現，展現強\n勁的成長動能。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""大聯大""}, ""datetime"": ""115/09/10 22:09:55""}",2026-09-10 22:09:42
1150910|sii|1589|1,115/09/10,14:24:33,1589,永冠-KY,公告說明本公司民國115年2月23日公司債到期尚未償還，本月現金預算表及前月現金預算執行情形,公司債,1150910,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""1589"", ""data"": [[1, ""115/09/10"", ""14:24:33"", ""蔡樹根"", ""副董事長"", ""(02)2791-7198"", ""公告說明本公司民國115年2月23日公司債到期尚未償還，本月\r\n現金預算表及前月現金預算執行情形"", ""1"", ""115/02/23"", ""1.公司名稱(或負責人姓名):永冠能源科技集團有限公司\n2.與公司關係:本公司\n3.相互持股比例:不適用\n4.喪失債信之日期:115/02/23\n5.喪失債信之金額:1,035,605,020\n6.喪失債信情事之事件內容:\n  本公司中華民國境內第四次無擔保轉換公司債(簡稱：永冠四KY，代碼：15894)於\n  2026年2月20日發行屆滿3年，因債券持有人行使賣回權，計新台幣1,035,605,020元\n  ，本公司未能如期按進度償付。\n7.因應及保全措施:\n  本公司透過公司債受託銀行公告償還方案，並依相關規定辦理後續事宜。\n8.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第1款所定對股東權益或證券價格有重大影響之事項):\n\n  115年8月份現金預算執行情形(單位：新台幣仟元)\n  項目        115年8月現金預算    115年8月預算執行情形    115年9月現金預算\n  --------   -----------------   ---------------------   ------------------\n  期初金額          1,095,143               1,095,143            1,087,095\n  現金流入            665,455                 562,405              566,963\n  現金流出            767,883                 570,453              826,075\n  期末現金            992,715               1,087,095              827,983""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""永冠-KY""}, ""datetime"": ""115/09/10 22:09:57""}",2026-09-10 22:09:42
1150910|sii|3006|1,115/09/10,14:36:23,3006,晶豪科,公告本公司國內第二次有擔保轉換公司債完成訂價,公司債,1150910,sii,1,"{""code"": 200, ""message"": ""查詢成功"", ""result"": {""marketName"": ""上市公司"", ""companyId"": ""3006"", ""data"": [[1, ""115/09/10"", ""14:36:23"", ""吳鴻基"", ""特別助理"", ""03-5781-970"", ""公告本公司國內第二次有擔保轉換公司債完成訂價"", ""51"", ""115/09/10"", ""1.事實發生日:115/09/10\n2.公司名稱:晶豪科技股份有限公司\n3.與公司關係(請輸入本公司或子公司):本公司\n4.相互持股比例:不適用\n5.發生緣由:\n依本公司「國內第二次有擔保轉換公司債發行及轉換辦法」訂定轉換價格。\n6.因應措施:無\n7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時\n  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):\n(1)本公司發行國內第二次有擔保轉換公司債案，業經金融監督管理委員會於民國115年\n   6月17日金管證發字第1150345947號函同意申報生效。\n(2)本轉換公司債以115年9月10日為轉換價格訂價基準日，依規定本轉換公司債之轉換\n  價格訂為每股新臺幣308.0元，轉換溢價率102.44%。""]], ""footer"": [""以上資料均由各公司依發言當時所屬市場別之規定申報後，由本系統對外公佈，資料如有虛偽不實，均由該公司負責。""], ""header"": {""note"": [], ""subTitle"": [], ""mainTitle"": [""公司當日重大訊息之詳細內容""]}, ""titles"": [{""sub"": [], ""main"": ""序號""}, {""sub"": [], ""main"": ""發言日期""}, {""sub"": [], ""main"": ""發言時間""}, {""sub"": [], ""main"": ""發言人""}, {""sub"": [], ""main"": ""發言人職稱""}, {""sub"": [], ""main"": ""發言人電話""}, {""sub"": [], ""main"": ""主旨""}, {""sub"": [], ""main"": ""符合條款""}, {""sub"": [], ""main"": ""事實發生日""}, {""sub"": [], ""main"": ""說明""}], ""companyAbbreviation"": ""晶豪科""}, ""datetime"": ""115/09/10 22:10:01""}",2026-09-10 22:09:42
